"Référence";"Contenu";"Objectif";"Thématique";"Cibles";"Correspondance";"Observations";"Référence ISO (1)";"Contenu ISO (1)";"Référence ISO (2)";"Contenu ISO (2)";"Référence ISO (3)";"Contenu ISO (3)";"Référence ISO (4)";"Contenu ISO (4)";"Référence ISO (5)";"Contenu ISO (5)";"Référence ISO (6)";"Contenu ISO (6)";"Référence ISO (7)";"Contenu ISO (7)"
"6.3-EE";"L’entité s’assure que les droits d'accès physique sont attribués au regard du besoin strictement nécessaire à l’exécution des missions des personnes.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteEssentielle";"élevé";;"27002:2022-5.15 Contrôle d'accès";"5.15 Contrôle d'accès";"27002:2022-7.2 Les entrées physiques";"7.2 Les entrées physiques";"27002:2022-7.3 Sécurisation des bureaux, des salles et des installations";"7.3 Sécurisation des bureaux, des salles et des installations";"27002:2022-7.4 Surveillance de la sécurité physique";"7.4 Surveillance de la sécurité physique";;;;;;
"6.4-EI/EE";"L'entité s'assure que les personnes externes accédant aux locaux techniques et salles serveurs de l’entité sont accompagnées ou dûment autorisées.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-7.2 Les entrées physiques";"7.2 Les entrées physiques";;;;;;;;;;;;
"7.A.1-EI/EE";"L’entité cloisonne physiquement et/ou logiquement l’ensemble de ses systèmes d’information vis-à-vis des autres systèmes d’information, y compris des systèmes d’information pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité et les systèmes d’information tiers (par exemple : cloisonnement logique par VLAN – réseau local virtuel - (réseau), par VM – machine virtuelle - (calcul) ou par volume (stockage)).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;;;
"7.A.2-EE";"L’entité cloisonne physiquement et/ou logiquement chaque système d’information vis-à-vis des autres systèmes d’information, y compris des systèmes d’information pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité et des systèmes d’information tiers (par exemple : un système d’information est cloisonné logiquement des autres systèmes d’information de l’entité. Il est aussi cloisonné physiquement des systèmes d’information de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"élevé";;"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";;;;;;;;;;;;
"7.A.3-EE";"L’entité mène des réflexions, pour chaque système d’information, sur la pertinence de définir des sous-systèmes. Lorsqu’elle n’identifie aucun sous-système, l’entité en apporte la justification.
Un sous-système regroupe des ressources assurant des fonctionnalités similaires et ayant des niveaux de sensibilité, d’exposition et de sécurité homogènes.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"élevé";;"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;;;
"7.A.4-EE";"Les sous-systèmes identifiés à la mesure 7.A.4-EE sont cloisonnés entre eux physiquement et/ou logiquement.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"élevé";;"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;;;
"7.A.5-EE";"L’entité met en œuvre au moins un sous-système “passerelle sortante” permettant :
•	aux ressources de ses systèmes d’information d’accéder aux systèmes d’informations tiers ;
•	d’authentifier, de filtrer et de tracer les accès aux systèmes d’information tiers (par exemple : un serveur mandataire).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"élevé";;"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;;;
"7.A.6-EE";"L’entité met en œuvre au moins un sous-système “passerelle entrante” permettant :
•	d’exposer des ressources de ses systèmes d’information aux systèmes d’information tiers ;
•	de filtrer et de tracer les accès depuis des systèmes d’information tiers (par exemple : un serveur mandataire inverse ou un relai).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"élevé";;"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;;;
"7.A.7-EI/EE";"Seules les interconnexions nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité sont mises en œuvre entre l’ensemble des systèmes d’information et, d’une part les systèmes d’information tiers et, d’autre part les autres systèmes d’information sous la responsabilité de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;
"7.A.8-EE";"Seules les interconnexions nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité sont mises en œuvre entre chaque système d’information et, d’une part les systèmes d’information tiers et, d’autre part les autres systèmes d’information sous la responsabilité de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité, ou entre les sous-systèmes du système d’information.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"élevé";;"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;
"7.B.1-EI/EE";"L’entité définit et documente les communications nécessaires :
•	à la réalisation de ses activités et services ;
•	au maintien en condition opérationnelle de sécurité circulant entre ses systèmes d’information et les autres systèmes d’information pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité, d’une part, et les systèmes d’information tiers, d’autre part.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Filtrage des communications";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";"27002:2022-8.12 Prévention de la fuite de données";"8.12 Prévention de la fuite de données";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.22 Cloisonnement des réseaux";"8.22 Cloisonnement des réseaux";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés"
"7.B.2-EE";"L’entité définit et documente les communications nécessaires au maintien en condition opérationnelle de sécurité circulant entre les sous-systèmes du système d’information.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Filtrage des communications";"EntiteEssentielle";"élevé";;"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";"27002:2022-8.12 Prévention de la fuite de données";"8.12 Prévention de la fuite de données";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;
"7.B.3-EI/EE";"L’entité met en œuvre, au niveau des interconnexions, les règles de filtrage pour n’autoriser que les communications identifiées à la mesure 7.B.1-EI/EE ou 7.B.2-EE. Les autres communications sont bloquées par défaut.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Filtrage des communications";"EntiteImportante, EntiteEssentielle";"moyen";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la sécurité des réseaux mais pas explicitement l'application d'une politique de restriction par défaut de l'ensemble des communications et l'autorisation uniquement des communications nécessaires à la réalisation des activités de l'organisation.";"27002:2022-8.12 Prévention de la fuite de données";"8.12 Prévention de la fuite de données";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;
"7.B.4-EI/EE";"L’entité filtre par un ou plusieurs pares-feux dédiés à cet usage, au minimum :
•	les communications entre les systèmes d’information de l’entité pour lesquels elle a décidé d'appliquer les objectifs ou non, d’une part ; et
•	les SI tiers d’autre part.
Par exemple : une entité mettant en œuvre un pare-feu pour filtrer les communications entre ses systèmes d’information (pour lesquels elle applique les objectifs de sécurité ou non) d’une part et les systèmes d’information tiers d’autre part est une solution acceptable.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Filtrage des communications";"EntiteImportante, EntiteEssentielle";"moyen";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la sécurité des réseaux mais ne donne pas de détail sur le cloisonnement que l'organisation doit effectivement mettre en place. En l'occurrence, le référentiel NIS 2 demande aux entités de cloisonner au minimum ses systèmes d'information des systèmes d'information tiers à l'aide de pare-feux (cloisonnement de bordure).
";"27002:2022-8.12 Prévention de la fuite de données";"8.12 Prévention de la fuite de données";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;
"7.B.5-EI/EE";"L’entité effectue annuellement une revue de la mise en œuvre technique des règles de filtrage mentionnées à la mesure 7.B.4-EI/EE.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Filtrage des communications";"EntiteImportante, EntiteEssentielle";"moyen";"Les normes ISO 27001 et ISO 27002 prévoient de nombreuses mesures visant à vérifier l'efficacité des mesures de sécurité mises en œuvre mais ne prévoient pas explicitement la revue annuelle des règles de filtrage.";"27002:2022-8.12 Prévention de la fuite de données";"8.12 Prévention de la fuite de données";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés";;;;;;
"8.1-EI/EE";"L’entité protège les accès à ses systèmes d’information effectués à travers un système d’information tiers au moyen de mécanismes de chiffrement conformes aux recommandations de l’autorité nationale de sécurité des systèmes d’information (par exemple : VPN TLS ou IPSec, protocoles applicatifs chiffrés comme TLS, SSH, etc.).";"Objectif de sécurité 8: Sécurisation des accès distants aux systèmes d'information";"Sécurisation des accès distants";"EntiteImportante, EntiteEssentielle";"moyen";"Les mesures prévues par la norme ISO 27002 en matière d'accès distants couvrent les accès distants des employés mais pas des prestataires qui accèderaient également à distance aux SI (par exemple : le cas de l'infogérance).
Par ailleurs, bien que la norme ISO 27002 prévoit des mesures de sécurisation des accès distants, le référentiel NIS 2 va au-delà en prévoyant que les mécanismes de chiffrement mis en œuvre respectent les recommandations de l'ANSSI.
";"27002:2022-6.7 Travail à distance";"6.7 Travail à distance";"27002:2022-8.24 Utilisation de la cryptographie";"8.24 Utilisation de la cryptographie";;;;;;;;;;
"8.2-EI/EE";"Lorsque les accès visés à la mesure 8.2-EI/EE sont effectués par les personnels et prestataires qu’elle a autorisée, l’entité protège les accès aux systèmes d’information par un mécanisme d'authentification conforme aux mesures relatives à l’Authentification.";"Objectif de sécurité 8: Sécurisation des accès distants aux systèmes d'information";"Sécurisation des accès distants";"EntiteImportante, EntiteEssentielle";"moyen";"Les mesures prévues par la norme ISO 27002 en matière d'accès distants couvrent les accès distants des employés mais pas des prestataires qui accèderaient également à distance aux SI (par exemple : le cas de l'infogérance).
Par ailleurs, bien que la norme ISO 27002 prévoit des mesures de sécurisation des accès distants, le référentiel NIS 2 va au-delà en prévoyant que les mécanismes de chiffrement mis en œuvre respectent les recommandations de l'ANSSI.";"27002:2022-5.17 Informations d'authentification";"5.17 Informations d'authentification";"27002:2022-6.7 Travail à distance";"6.7 Travail à distance";"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;
"8.3-EE";"Pour les accès visés à la mesure 8.2-EI/EE le mécanisme d’authentification est multifacteur et repose sur au moins un facteur de connaissance (par exemple : authentification avec une carte à puce et un code PIN).";"Objectif de sécurité 8: Sécurisation des accès distants aux systèmes d'information";"Sécurisation des accès distants";"EntiteEssentielle";"moyen";"Les mesures prévues par la norme ISO 27002 en matière d'accès distants couvrent les accès distants des employés mais pas des prestataires qui accèderaient également à distance aux SI (par exemple : le cas de l'infogérance).";"27002:2022-6.7 Travail à distance";"6.7 Travail à distance";"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;;;
"8.4-EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas la mise en œuvre d’une authentification multifacteur, l’entité met en œuvre des mesures permettant de réduire le risque associé.";"Objectif de sécurité 8: Sécurisation des accès distants aux systèmes d'information";"Sécurisation des accès distants";"EntiteEssentielle";"élevé";;"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-6.1.3 Traitement des risques de sécurité de l'information";"6.1.3 Traitement des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.3 Traitement des risques de sécurité de l'information";"8.3 Traitement des risques de sécurité de l'information";;;;;;
"8.5-EE";"Les mémoires de masse (par exemple : les « disques ») des postes de travail et équipements mobiles permettant aux personnels et prestataires de l’entité d’accéder à distance aux systèmes d’information depuis un lieu qui n’est pas maîtrisé par l’entité, sont en permanence protégées par des mécanismes de chiffrement et d’authentification conformes à l’état de l’art tel que recommandé par l’autorité nationale de sécurité des systèmes d’information (par exemple : disques chiffrés avec code PIN exigé pour le déchiffrement au démarrage).";"Objectif de sécurité 8: Sécurisation des accès distants aux systèmes d'information";"Sécurisation des accès distants";"EntiteEssentielle";"moyen";"Les mesures prévues par la norme ISO 27002 en matière d'accès distants couvrent les accès distants des employés mais pas des prestataires qui accèderaient également à distance aux SI (par exemple : le cas de l'infogérance).";"27002:2022-7.9 Sécurité des actifs hors des locaux";"7.9 Sécurité des actifs hors des locaux";"27002:2022-8.1 Terminaux finaux des utilisateurs";"8.1 Terminaux finaux des utilisateurs";"27002:2022-8.24 Utilisation de la cryptographie";"8.24 Utilisation de la cryptographie";;;;;;;;
"9.1-EI/EE";"L’entité définit les ressources matérielles, en particulier les terminaux, autorisées à se connecter à ses systèmes d’information.
NB : Cette mesure autorise le AVEC (Apportez votre équipement de communication) ou BYOD en anglais.";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-7.9 Sécurité des actifs hors des locaux";"7.9 Sécurité des actifs hors des locaux";"27002:2022-8.1 Terminaux finaux des utilisateurs";"8.1 Terminaux finaux des utilisateurs";"27002:2022-8.3 Restrictions d'accès aux informations";"8.3 Restrictions d'accès aux informations";"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";;;;
"9.2-EE";"Seules les ressources matérielles dont l’entité, ou le prestataire qu’elle a mandaté à cet effet, assure la gestion et qui participent à la réalisation des activités ou des services de l’entité ou au maintien en condition opérationnelle et de sécurité se connectent aux systèmes d’information.
NB : Cette mesure interdit le AVEC (Apportez votre équipement de communication) ou BYOD en anglais.";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteEssentielle";"moyen";"Alors que la norme ISO 27002 laisse à l'organisation la responsabilité de définir les pratiques en matière d'AVEC / BYOD, la mesure du référentiel NIS 2 l'exclue explicitement pour les entités essentielles";"27002:2022-8.1 Terminaux finaux des utilisateurs";"8.1 Terminaux finaux des utilisateurs";"27002:2022-8.3 Restrictions d'accès aux informations";"8.3 Restrictions d'accès aux informations";"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";;;;;;
"9.3-EI/EE";"L’entité met en œuvre des mesures organisationnelles ou techniques visant à empêcher la connexion des ressources matérielles autres que celles identifiées à la mesure 9.1-EI/EE sur ses systèmes d’information.";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.10 Utilisation correcte des informations et autres actifs associés";"5.10 Utilisation correcte des informations et autres actifs associés";"27002:2022-6.2 Termes et conditions du contrat de travail";"6.2 Termes et conditions du contrat de travail";"27002:2022-6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés"
"9.4-EE";"L’entité met en œuvre des mesures organisationnelles ou techniques visant à empêcher la connexion des ressources matérielles autres que celles identifiées à la mesure 9.2-EE sur ses systèmes d’information.";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteEssentielle";"élevé";;"27002:2022-5.10 Utilisation correcte des informations et autres actifs associés";"5.10 Utilisation correcte des informations et autres actifs associés";"27002:2022-6.2 Termes et conditions du contrat de travail";"6.2 Termes et conditions du contrat de travail";"27002:2022-6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";"27002:2022-8.20 Sécurité des réseaux";"8.20 Sécurité des réseaux";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés"
"9.5-EI/EE";"Seuls les supports amovibles réinscriptibles nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité se connectent à ses systèmes d’information (par exemple : clefs USB ou disques dur amovibles).";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.10 Utilisation correcte des informations et autres actifs associés";"5.10 Utilisation correcte des informations et autres actifs associés";"27002:2022-6.2 Termes et conditions du contrat de travail";"6.2 Termes et conditions du contrat de travail";"27002:2022-6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"27002:2022-7.10 Supports de stockage";"7.10 Supports de stockage";"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";"27002:2022-8.21 Sécurité des services réseau";"8.21 Sécurité des services réseau";"27002:2022-8.27 Principes d'ingénierie et d'architecture des système sécurisés";"8.27 Principes d'ingénierie et d'architecture des système sécurisés"
"9.6-EI/EE";"Les postes de travail, les serveurs et les équipements mobiles maîtrisés par l’entité, qui sont amenés à traiter de données provenant de sources externes (par exemple les supports amovibles, la messagerie ou la navigation web), à l’exception de données de mise à jour fournies par les éditeurs et dont l’authenticité et l’intégrité sont vérifiées, disposent de mécanismes de protection contre les risques d'exécution de codes malveillants (par exemple : un antivirus ou un EDR).";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";;;;;;;;;;;;
"9.7-EI/EE";"L’entité procède à l’analyse des données provenant de sources externes lors de leur réception, pour y rechercher des codes malveillants, à l’exception de données de mise à jour fournies par les éditeurs et dont l’authenticité et l’intégrité sont vérifiées (par exemple : une passerelle mail analysant les pièces jointes avant distribution, un SAS de décontamination antivirale pour les clefs USB).";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";;;;;;;;;;;;
"10.A.1-EI/EE";"Les utilisateurs et les processus automatiques accédant aux ressources des systèmes d’information de l’entité disposent de comptes individuels. Les utilisateurs peuvent, le cas échéant, disposer de plusieurs comptes individuels.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";"Alors que la norme ISO 27002 utilise la notion d'""identité"", le référentiel NIS 2 utilise la notion de ""compte"".";"27002:2022-5.16 Gestion des identités";"5.16 Gestion des identités";;;;;;;;;;;;
"10.A.2-EI/EE";"L’emploi d’un compte individuel du système d’information est réservé à l’utilisateur ou au processus automatique auquel ce compte a été attribué.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";"Alors que la norme ISO 27002 utilise la notion d'""identité"", le référentiel NIS 2 utilise la notion de ""compte"".";"27002:2022-5.16 Gestion des identités";"5.16 Gestion des identités";;;;;;;;;;;;
"10.A.3-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas de créer de comptes individuels pour les utilisateurs ou pour les processus automatiques, l’entité met en place des mesures permettant de réduire le risque lié à l'utilisation de comptes partagés et d'assurer la traçabilité de l'utilisation de ces comptes (par exemple : carnet de quart dans une salle de supervision, badgeuse à l’entrée de la salle).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-6.1.3 Traitement des risques de sécurité de l'information";"6.1.3 Traitement des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.3 Traitement des risques de sécurité de l'information";"8.3 Traitement des risques de sécurité de l'information";;;;;;
"10.A.4-EI/EE";"Lorsqu'un système d’information est utilisé pour diffuser de l'information au public, l’entité n'est pas tenue de créer de comptes pour l'accès du public à cette information (par exemple : l’accès à un site vitrine ne nécessite pas d’authentifier les visiteurs alors que l’accès à l’intranet doit authentifier les utilisateurs).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures sur la gestion des identités et des accès mais ne rentre pas dans le détail de la mesure du référentiel visant à exempter les entités de créer des comptes pour les systèmes d'information utilisés pour publier de l'information.";;;;;;;;;;;;;;
"10.A.5-EI/EE";"L’entité désactive les comptes qui ne sont plus nécessaires dans les délais prévus par sa politique de gestion des comptes (par exemple : sous 7 jours).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";"La norme ISO 27002 prévoit plusieurs mesures sur la gestion du cycle de vie des identités mais n'appelle pas les organisations à définir un délai précis de désactivation, elle les invite à le faire ""rapidement"".";"27002:2022-5.16 Gestion des identités";"5.16 Gestion des identités";;;;;;;;;;;;
"10.A.6-EI/EE";"L’entité effectue périodiquement, au moins annuellement, une revue des comptes. Cette revue doit notamment vérifier le respect des présentes mesures relatives à l'identification et, le cas échéant, corriger les anomalies.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"moyen";"La norme ISO 27002 prévoit de nombreuses mesures visant à évaluer l'efficacité des mesures de gestion des risques mais ne prévoit pas explicitement la revue périodique des comptes.";"27002:2022-5.16 Gestion des identités";"5.16 Gestion des identités";;;;;;;;;;;;
"10.B.1-EI/EE";"L’entité protège les accès des utilisateurs et processus automatiques aux ressources de ses systèmes d’information au moyen d'un mécanisme d'authentification impliquant au moins un élément secret (par exemple : un mécanisme d’authentification mono-facteur tel qu’un mot de passe, ou multi-facteur, tel qu’une carte à puce avec code PIN).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.17 Informations d'authentification";"5.17 Informations d'authentification";"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;;;
"10.B.2-EI/EE";"L’entité change les éléments secrets configurés par défaut, avant la mise en service d’une ressource. À cet effet, l’entité s'assure auprès du fabricant ou du fournisseur de la ressource qu'elle dispose des moyens et des droits permettant d’effectuer ces changements.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.17 Informations d'authentification";"5.17 Informations d'authentification";"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;;;
"10.B.3-EI/EE";"L’élément secret d'un compte partagé est renouvelé à chaque retrait d'un utilisateur de ce compte.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.17 Informations d'authentification";"5.17 Informations d'authentification";"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;;;
